POSITIONNAME|EFFECTIVESTARTDATE|EFFECTIVEENDDATE|PAYEEID|PAYEETYPE|PLANNAME|MANAGERNAME|TITLENAME|POSITIONGROUPNAME|TARGETCOMPENSATION|UNITTYPEFORTARGETCOMPENSATION|BUSINESSUNITNAME|DESCRIPTION|GENERICATTRIBUTE1|GENERICATTRIBUTE2|GENERICATTRIBUTE3|GENERICATTRIBUTE4|GENERICATTRIBUTE5|GENERICATTRIBUTE6|GENERICATTRIBUTE7|GENERICATTRIBUTE8|GENERICATTRIBUTE9|GENERICATTRIBUTE10|GENERICATTRIBUTE11|GENERICATTRIBUTE12|GENERICATTRIBUTE13|GENERICATTRIBUTE14|GENERICATTRIBUTE15|GENERICATTRIBUTE16|GENERICNUMBER1|UNITTYPEFORGENERICNUMBER1|GENERICNUMBER2|UNITTYPEFORGENERICNUMBER2|GENERICNUMBER3|UNITTYPEFORGENERICNUMBER3|GENERICNUMBER4|UNITTYPEFORGENERICNUMBER4|GENERICNUMBER5|UNITTYPEFORGENERICNUMBER5|GENERICNUMBER6|UNITTYPEFORGENERICNUMBER6|GENERICDATE1|GENERICDATE2|GENERICDATE3|GENERICDATE4|GENERICDATE5|GENERICDATE6|GENERICBOOLEAN1|GENERICBOOLEAN2|GENERICBOOLEAN3|GENERICBOOLEAN4|GENERICBOOLEAN5|GENERICBOOLEAN6|CREDITSTARTDATE|CREDITENDDATE|PROCESSINGSTARTDATE|PROCESSINGENDDATE
76530-AKF-PA|05/01/2022||76530|Participant||67564-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||02/28/2023||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
75888-AKF-EA|11/01/2021||75888|Participant||39531-OTHER|AKF-EA||||DK-50057836||||||||||||||||||||||||||||||||08/31/2021||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
61917-OTHER|05/15/2022||61917|Participant||58938-OTHER|OTHER||||DK-50075837||||||||||||||||||||||||||||||||05/07/2023||||||||||05/15/2022|01/01/2200|05/15/2022|01/01/2200
75680-OTHER|11/01/2021||75680|Participant||57546-OTHER|OTHER||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
79643-OTHER|11/01/2021||79643|Participant||57546-OTHER|OTHER||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
57323-AKF-PA|05/01/2022||57323|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
4746-AKF-EKC|11/01/2021||4746|Participant||31680-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
81535-AKF-PA|12/01/2022||81535|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||12/01/2022|01/01/2200|12/01/2022|01/01/2200
77131-AKF-EKC|11/01/2021||77131|Participant||31680-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
12311-AKF-EKC|11/01/2021||12311|Participant||31680-OTHER|AKF-EKC||||DK-50057836||||||||||||||||||||||||||||||||01/01/2200||||||||||11/01/2021|01/01/2200|11/01/2021|01/01/2200
58000-AKF-PA|05/01/2022||58000|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
90782-AKF-PA|12/01/2022||90782|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||12/01/2022|01/01/2200|12/01/2022|01/01/2200
58936-AKF-PA|05/01/2022||58936|Participant||31680-OTHER|AKF-PA||||DK-50075837||||||||||||||||||||||||||||||||01/01/2200||||||||||05/01/2022|01/01/2200|05/01/2022|01/01/2200
