policy_value,policy_type,region,add_ons,commission
47821,Premium,East,No,1506.42
19432,Standard,North,Yes,888.64
38362,Standard,East,No,817.24
41760,Standard,North,Yes,1335.2
33724,Standard,North,No,874.48
28459,Standard,North,Yes,1069.18
20559,Premium,South,No,1061.18
12533,Premium,South,No,900.66
46140,Premium,North,Yes,1922.8000000000002
47714,Standard,West,Yes,1354.28
25738,Premium,South,Yes,1464.76
8947,Standard,West,Yes,578.94
7972,Standard,South,Yes,609.44
27254,Premium,North,No,1245.08
49573,Premium,East,Yes,1841.46
37092,Standard,West,No,841.84
17108,Standard,South,No,492.16
8103,Standard,South,No,312.06
25178,Premium,East,Yes,1353.56
14037,Premium,East,No,830.74
27894,Standard,East,No,607.88
31843,Standard,West,No,736.86
5884,Premium,South,No,767.6800000000001
7636,Standard,South,No,302.72
11529,Standard,East,No,280.58000000000004
33348,Standard,East,Yes,1016.96
44965,Premium,East,No,1449.3000000000002
21992,Premium,South,Yes,1389.8400000000001
44382,Premium,South,Yes,1837.6399999999999
15835,Premium,South,Yes,1266.7
19031,Standard,North,No,580.62
5248,Premium,South,No,754.96
30648,Premium,North,Yes,1612.96
20260,Premium,East,Yes,1255.2
5645,Premium,North,No,812.9
39612,Premium,West,No,1392.24
26632,Standard,North,No,732.64
6746,Standard,West,Yes,534.9200000000001
26841,Standard,East,No,586.82
48077,Standard,West,Yes,1361.54
26894,Premium,South,No,1187.88
14907,Standard,West,No,398.14
48616,Standard,South,Yes,1422.3200000000002
11092,Standard,West,No,321.84000000000003
7623,Premium,East,Yes,1002.46
29172,Standard,South,Yes,1033.44
32093,Standard,West,Yes,1041.8600000000001
14899,Premium,South,No,947.98
10242,Premium,West,No,804.84
7273,Standard,West,No,245.46
48684,Premium,North,No,1673.68
16217,Standard,North,Yes,824.34
30354,Premium,North,No,1307.08
46908,Standard,East,No,988.16
31875,Standard,West,No,737.5
38083,Standard,East,No,811.66
12769,Premium,South,Yes,1205.38
40137,Standard,East,Yes,1152.74
38467,Premium,East,No,1319.3400000000001
47654,Premium,South,Yes,1903.08
11747,Standard,North,Yes,734.94
46906,Premium,South,Yes,1888.12
35599,Standard,South,No,861.98
46080,Standard,West,Yes,1321.6
28475,Premium,West,Yes,1469.5
9499,Premium,East,Yes,1039.98
18022,Standard,South,No,510.44
35388,Standard,East,No,757.76
30466,Standard,East,Yes,959.32
27808,Premium,East,Yes,1406.1599999999999
22125,Premium,East,Yes,1292.5
17062,Premium,South,No,991.24
40242,Standard,East,Yes,1154.8400000000001
7107,Standard,West,Yes,542.14
12172,Premium,South,No,893.44
25165,Premium,North,Yes,1503.3
45033,Premium,West,No,1500.6599999999999
24001,Standard,North,Yes,980.02
38036,Premium,East,Yes,1610.72
35632,Standard,West,Yes,1112.6399999999999
33381,Standard,North,Yes,1167.62
8475,Premium,East,No,719.5
40024,Standard,South,No,950.48
13334,Standard,East,No,316.68
8118,Premium,North,No,862.36
33320,Standard,West,No,766.4
7672,Standard,West,No,253.44
45086,Standard,South,Yes,1351.72
11447,Premium,North,No,928.94
26478,Standard,East,No,579.5600000000001
25391,Premium,South,Yes,1457.82
45215,Standard,West,Yes,1304.3000000000002
36031,Premium,South,Yes,1670.62
10083,Standard,South,Yes,651.66
34581,Premium,East,No,1241.62
18947,Standard,South,Yes,828.94
23504,Premium,North,Yes,1470.08
45555,Standard,West,Yes,1311.1
26992,Standard,East,Yes,889.84
45026,Premium,East,Yes,1750.52
7278,Standard,South,Yes,595.56
10949,Premium,East,Yes,1068.98
9340,Premium,South,No,836.8
14784,Standard,South,Yes,745.6800000000001
19244,Standard,West,Yes,784.88
35233,Premium,North,Yes,1704.6599999999999
33734,Premium,North,Yes,1674.68
8815,Standard,South,No,326.3
31813,Premium,West,No,1236.26
17508,Premium,East,No,900.1600000000001
29152,Standard,North,Yes,1083.04
22855,Premium,East,No,1007.1
42260,Standard,East,Yes,1195.2
34517,Premium,West,No,1290.3400000000001
13237,Premium,South,No,914.74
33631,Premium,West,Yes,1572.62
16012,Standard,West,Yes,720.24
27490,Standard,West,Yes,949.8000000000001
35376,Standard,East,Yes,1057.52
38129,Premium,South,Yes,1712.58
38035,Standard,South,Yes,1210.7
29277,Premium,South,Yes,1535.54
38190,Standard,North,No,963.8000000000001
18678,Standard,West,No,473.56
9704,Premium,North,Yes,1194.08
15490,Standard,North,Yes,809.8
42401,Standard,South,No,998.02
16122,Premium,East,Yes,1172.44
48605,Premium,North,No,1672.1
13401,Premium,West,No,868.02
40275,Standard,South,No,955.5
9463,Premium,South,No,839.26
11816,Standard,East,Yes,586.3199999999999
39936,Standard,South,No,948.72
21009,Premium,South,Yes,1370.18
44897,Standard,North,No,1097.94
5408,Premium,South,Yes,1058.1599999999999
40142,Standard,North,Yes,1302.8400000000001
18717,Premium,East,No,924.34
35319,Standard,West,Yes,1106.38
16554,Premium,East,Yes,1181.08
10430,Standard,North,No,408.6
27588,Standard,South,Yes,1001.76
43324,Premium,West,Yes,1766.48
15578,Premium,South,No,961.56
40399,Premium,South,Yes,1757.98
25483,Standard,West,Yes,909.6600000000001
26804,Standard,East,No,586.08
49362,Premium,North,No,1687.24
30609,Premium,South,No,1262.18
46738,Premium,East,No,1484.76
30070,Standard,West,No,701.4
36626,Standard,South,No,882.52
34853,Premium,West,Yes,1597.06
9244,Premium,West,Yes,1084.88
11091,Standard,East,Yes,571.8199999999999
44927,Premium,East,No,1448.54
40595,Premium,West,Yes,1711.9
10460,Standard,West,No,309.20000000000005
34724,Standard,East,No,744.48
8270,Standard,East,Yes,515.4
29747,Standard,East,Yes,944.94
14967,Standard,West,Yes,699.34
17931,Standard,South,Yes,808.62
37035,Standard,West,No,840.7
49463,Premium,South,Yes,1939.26
45253,Premium,North,Yes,1905.06
39289,Premium,North,No,1485.78
15731,Premium,East,Yes,1164.62
25544,Standard,South,Yes,960.88
16461,Premium,East,Yes,1179.22
33149,Premium,West,Yes,1562.98
7623,Standard,North,No,352.46000000000004
29661,Premium,East,No,1143.22
23590,Standard,West,No,571.8
40276,Premium,West,Yes,1705.52
35351,Premium,South,No,1357.02
43138,Standard,West,Yes,1262.76
19748,Premium,North,No,1094.96
35742,Standard,North,Yes,1214.8400000000001
17052,Premium,South,No,991.04
41492,Standard,East,No,879.84
14738,Premium,North,Yes,1294.76
27271,Premium,West,No,1145.42
44174,Premium,West,Yes,1783.48
34611,Standard,East,No,742.22
32837,Standard,West,Yes,1056.74
15311,Standard,East,No,356.22
7522,Premium,East,No,700.44
33719,Standard,North,No,874.38
49622,Standard,North,No,1192.44
16361,Standard,South,Yes,777.22
29990,Premium,West,Yes,1499.8000000000002
43939,Premium,West,No,1478.78
28504,Standard,North,Yes,1070.08
44692,Standard,West,Yes,1293.8400000000001
19746,Standard,East,No,444.92
33411,Standard,West,No,768.22
26322,Standard,North,Yes,1026.44
40462,Premium,North,No,1509.24
14295,Premium,South,Yes,1235.9
49474,Standard,West,No,1089.48
10229,Standard,West,No,304.58000000000004
18432,Premium,East,No,918.64
45413,Premium,West,No,1508.26
8371,Standard,West,No,267.42
37434,Premium,East,No,1298.68
43506,Premium,South,Yes,1820.12
9682,Premium,South,No,843.64
11381,Standard,North,No,427.62
27787,Standard,East,No,605.74
5926,Premium,South,Yes,1068.52
47987,Premium,East,No,1509.74
22041,Premium,North,Yes,1440.82
29224,Premium,East,Yes,1434.48
49998,Standard,East,No,1049.96
37605,Standard,East,Yes,1102.1
42779,Premium,North,No,1555.58
35594,Premium,North,Yes,1711.88
15973,Standard,West,Yes,719.46
15606,Standard,South,Yes,762.12
45183,Standard,South,No,1053.6599999999999
29274,Premium,East,No,1135.48
45344,Standard,South,No,1056.88
12880,Premium,East,No,807.6
27858,Premium,East,No,1107.1599999999999
6156,Standard,North,Yes,623.12
28247,Standard,North,No,764.94
18678,Premium,South,No,1023.56
27381,Premium,South,Yes,1497.62
46223,Premium,East,No,1474.46
22930,Standard,North,Yes,958.6
28167,Standard,East,No,613.34
