policy_value,policy_type,region,add_ons,commission
44441.024624982085,Standard,South,No,385.60709126372626
19548.337332502728,Premium,North,Yes,681.3277188562186
46033.19934045181,Premium,North,Yes,609.5317837883892
39229.537480585604,Standard,North,Yes,405.39976940834583
48081.602477499735,Standard,South,Yes,666.330645063403
5730.616385129768,Premium,North,Yes,536.130267692925
49321.66503339911,Premium,East,No,462.33291093086876
6381.7718797472135,Standard,South,No,274.8357175312067
34152.325381582166,Standard,East,Yes,464.2323020329122
46005.17414729249,Premium,North,Yes,441.7821471932736
20503.222870442543,Standard,East,Yes,408.6632205450481
25077.993841795924,Standard,South,No,558.6172003986102
48325.18963113033,Standard,East,No,710.497631577002
30979.877367015288,Premium,East,Yes,629.9759946630384
37712.422324031504,Standard,West,Yes,632.4833737978527
21533.939794228078,Standard,East,No,440.64675798554555
48052.89231112521,Premium,North,No,565.6105213491768
30864.478292505562,Standard,North,No,417.3768325395354
48504.4953759077,Standard,South,No,609.1862773336993
48434.44370612454,Standard,North,No,611.9548695899435
40341.754418811324,Premium,West,Yes,607.8241192282054
38194.47657818163,Premium,West,No,365.8207026933404
45427.763382371886,Standard,North,No,527.2120896826143
21587.82212078018,Standard,South,Yes,485.9755061272888
29725.091871237677,Standard,West,No,525.9006287415548
21353.271246349163,Standard,North,No,512.3651934901583
33557.42012545938,Standard,North,No,517.44369605703
37741.071465879504,Premium,East,No,406.0815556099187
15293.324169553685,Premium,East,No,492.8379805851579
6357.704942642997,Premium,South,No,412.01675960920227
34965.283168425,Premium,West,Yes,424.60340576217834
45652.450840279744,Standard,East,No,571.0720957369313
23938.56365717381,Premium,South,No,586.9838129399845
5619.357718325819,Standard,West,Yes,567.682265096199
46236.00510137947,Standard,East,No,594.7682668033885
22152.370802954472,Standard,South,Yes,440.0466410196911
10839.88989525397,Standard,South,No,431.8711678559813
15660.480083923621,Premium,West,No,534.2106132018466
11872.483047964599,Premium,South,No,372.8890517871188
