H|20240903 19:31:41|EPC_ProductList|   
RECORD_TYPE|PROMO_CODE|PROMO_DESCRIPTION|START_DATE|END_DATE|AUTO_IND|RANK|MODEL|BRAND|DISCOUNT|SRC|SALES_CHANNEL|TRANS
D|101514130N|$40/MTH_SINGTEL IPP FOR 24 MTH|2016-01-01T00:00:00|2016-01-01T00:00:00|N||*|*|*|DBU|*|*
D|101514140N|$45/MTH_SINGTEL IPP FOR 24 MTH|2016-01-01T00:00:00|2016-01-01T00:00:00|N||*|*|*|DBU|*|*
D|101514150N|$50/MTH_SINGTEL IPP FOR 24 MTH|2016-01-01T00:00:00|2016-01-01T00:00:00|N||*|*|*|DBU|*|*
D|101510990N|$0 SINGTEL INSTALM PAYMT PLAN (ESHOP)|2016-01-01T00:00:00|2016-09-02T00:00:00|N||*|*|*|DBU|*|*
D|101512260N|SME $100 MOBILE SHARE HANDSET|2016-01-01T00:00:00|2016-09-02T00:00:00|N||*|*|*|DBU|*|*
D|101512480N|SME $100 OFF ANY HANDSET (SIM ONLY)|2016-01-01T00:00:00|2016-09-02T00:00:00|N||*|*|*|DBU|*|*
D|101514290N|$200 OFF S7 WITH FIBRE (NEW/MI|2016-01-01T00:00:00|2016-09-02T00:00:00|N||*|*|*|DBU|*|*
D|101514300N|$200 OFF S7 WITH FEB (RECON)|2016-01-01T00:00:00|2016-09-02T00:00:00|N||*|*|*|DBU|*|*
D|101514580N|$100 OFF CIS LG HANDSET (TRADE-IN)|2017-05-13T00:00:00|2017-06-09T23:59:59|N||*|*|*|CIS|*|*
D|101514210N|$50 OFF HANDSET WITH FHB (NEW/MIG)|2017-05-31T00:00:00|2017-08-13T23:59:59|N||*|*|*|BB PM|*|*
D|101514220N|$50 OFF HANDSET WITH FHB (NEW/MIG)|2017-05-31T00:00:00|2017-08-13T23:59:59|N||*|*|*|BB PM|*|*
D|101514230N|$50 OFF HANDSET WITH FHB VER B (NEW/MIG)|2017-05-31T00:00:00|2017-08-31T23:59:59|N||*|*|*|BB PM|*|*
D|101514240N|$50 OFF HANDSET WITH FHB VER B (RECON)|2017-05-31T00:00:00|2017-08-31T23:59:59|N||*|*|*|BB PM|*|*
D|101514250N|$30 OFF HANDSET WITH FHB (NEW/MIG)|2017-06-29T00:00:00|2017-08-31T23:59:59|N||*|*|*|BB PM|*|*
D|101514260N|$30 OFF HANDSET WITH FHB (RECON)|2017-06-29T00:00:00|2017-08-31T23:59:59|N||*|*|*|BB PM|*|*
D|380014870N|$80 ACCESSORIES VOUCHER|2016-01-01T00:00:00|2017-09-27T00:00:00|N||*|*|*|DBU|*|*
D|399928960V|$30 ACCESSORIES VOUCHER|2016-01-01T00:00:00|2017-09-27T00:00:00|N||*|*|*|DBU|*|*
D|101510300N|ONLINE $30 DISCOUNT|2016-01-01T00:00:00|2017-10-29T23:59:59|N||*|*|*|DBU|*|*
D|380014680N|$50 OFF CIS MOBILE RECON|2016-01-01T00:00:00|2017-11-01T00:00:00|N||*|*|*|CIS|*|*
D|380014690N|$80 OFF CIS MOBILE RECON|2016-01-01T00:00:00|2017-11-01T00:00:00|N||*|*|*|CIS|*|*
D|380014700N|$100 OFF CIS MOBILE RECON|2016-01-01T00:00:00|2017-11-01T00:00:00|N||*|*|*|CIS|*|*
D|380014850N|$150 OFF CIS MOBILE RECON|2016-01-01T00:00:00|2017-11-01T00:00:00|N||*|*|*|CIS|*|*
D|101510330N|$50 HANDSET DISCOUNT (NEW OPENING)|2016-01-01T00:00:00|2017-11-03T23:59:59|N||*|*|*|DBU|*|*
D|101514210N|$50 OFF HANDSET W FHB AUG_NOV17(NEW/MIG)|2017-08-14T00:00:00|2017-11-30T23:59:59|N||*|*|*|BB PM|*|*
D|101514220N|$50 OFF HANDSET W FHB AUG_NOV17(RECON)|2017-08-14T00:00:00|2017-11-30T23:59:59|N||*|*|*|BB PM|*|*
D|101514620N|$100 OFF ANY HANSET WITH FHB (NEW/MIG)|2017-08-28T00:00:00|2017-11-30T23:59:59|N||*|*|*|BB PM|*|*
D|101514630N|$100 OFF ANY HANSET WITH FHB (RECON)|2017-08-28T00:00:00|2017-11-30T23:59:59|N||*|*|*|BB PM|*|*
D|399939380V|$10 Diary Farm Vouchers|2017-11-23T00:00:00|2017-11-30T23:59:59|N||*|*|*|CLM|*|*
D|399940750V|$10 CapitaLand Vouchers|2017-11-23T00:00:00|2017-11-30T23:59:59|N||*|*|*|CLM|*|*
