H|20240228 22:21:02|EPC_ProductList|   
RECORD_TYPE|PRODUCT_ID|PRODUCT_DESCRIPTION|SERVICE_TYPE|BUSINESS_PRODUCT_TYPE|PRODUCT_FAMILY|LIST_PRICE|SPEED|EFFECTIVE_DATE|EXPIRATION_DATE|PO_TYPE|FV_SVC_TECHNOLOGY|OFFER_TYPE
D|8424912|Caller ID Monthly Subscription Discount (1 mth)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8424932|Caller ID Monthly Subscription Discount (24 mths)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8424922|Caller ID Monthly Subscription Discount (12 mths)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8424352|100% Discount on TalkMore Unlimited Subscription (1 mth)|MOB|VAS|DiscTalkMore Unlimited||null|19900101|21200101|||SuperSim
D|8424952|Caller ID Monthly Subscription Discount (9 mths)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8424942|Caller ID Monthly Subscription Discount (6 mths)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8424962|Caller Non-ID Quarterly Subscription Discount|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8423772|VoiceMail (30) Monthly Subscription Discount (24 mths)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8425112|Mobile DataMore Subscription Discount - 100% (3 mths)|MOB|VAS|DiscDataMore||null|19900101|21200101|||SuperSim
D|8425122|Mobile DataMore Subscription Discount - 37.5% (24 mths)|MOB|VAS|DiscDataMore||null|19900101|21200101|||SuperSim
D|8425132|Mobile DataMore 2GB Subscription Discount - 100% (3 mths)_TBD|null|VAS|DiscDataMore||null|19900101|null|||
D|8425172|Mobile DataMore 4GB Subscription Discount - 100% (3 mths)_TBD|null|VAS|DiscDataMore||null|19900101|null|||
D|8425162|Mobile DataMore 3GB Subscription Discount - 37.5% (24 mths)_TBD|null|VAS|DiscDataMore||null|19900101|null|||
D|8425152|Mobile DataMore 3GB Subscription Discount - 100% (3 mths)_TBD|null|VAS|DiscDataMore||null|19900101|null|||
D|8423992|Caller ID Monthly Subscription Discount - 50% (24 mths)|MOB|VAS|DiscCaller ID||null|19900101|21200101|||Regular
D|8425142|Mobile DataMore 2GB Subscription Discount - 37.5% (24 mths)_TBD|null|VAS|DiscDataMore||null|19900101|null|||
D|8425212|TalkMore Extra Monthly Subscription Discount - 100% (6 mths)|MOB|VAS|DiscTalkMore||null|19900101|21200101|||SuperSim
D|8425202|TalkMore Extra Monthly Subscription Discount - 100% (3 mths)|MOB|VAS|DiscTalkMore||null|19900101|21200101|||SuperSim
D|8425182|Mobile DataMore 4GB Subscription Discount - 37.5% (24 mths)_TBD|null|VAS|DiscDataMore||null|19900101|null|||
D|8425252|VoiceMail (30) Monthly Subscription Discount (2 mths)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8425242|VoiceMail (30) Monthly Subscription Discount|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8425222|TalkMore Extra Monthly Subscription Discount - 50% (12 mths)|MOB|VAS|DiscTalkMore||null|19900101|21200101|||SuperSim
D|8425272|VoiceMail (30) Monthly Subscription Discount (6 mths)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8425262|VoiceMail (30) Monthly Subscription Discount (3 mths)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||SuperSim
D|8424732|Free Caller Non-ID Quarterly Subscription (2 mths)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8424692|Free VoiceMail (30) Monthly Subscription (1 mth)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||Regular
D|8424672|Free Caller Non-ID Quarterly Subscription (1 mth)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
D|8424802|Free VoiceMail (30) Monthly Subscription (3 mths)|MOB|VAS|DiscVoiceMail||null|19900101|21200101|||Regular
D|8424782|Free Caller Non-ID Quarterly Subscription (3 mths)|MOB|VAS|DiscCNND||null|19900101|21200101|||SuperSim
