Validation	Team	Title	StartDate	EndDate	Band	Min 	Max	Rate
	Must match Team in Callidus Exactly	Must match title in Callidus Exactly	Month Start Date YYYY-MM-DD	Month End Date YYYY-MM-DD	Pick from drop down	Enter number without commas and % sign	Enter number without commas and % sign	Enter number without commas and % sign
OK	Events	DirectSales - Sales Executive	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Events	DirectSales - Sales Executive	2023-10-01	2024-06-30	BAND 4	89	88	-5
OK	Events	DirectSales - Sales Executive	2023-10-01	2024-06-30	BAND 3	89	90	0
OK	Events	DirectSales - Sales Executive	2023-10-01	2024-06-30	BAND 2	91	93	5
OK	Events	DirectSales - Sales Executive	2023-10-01	2024-06-30	BAND 1	94	100	10
OK	Events	DirectSales - Team Lead	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Events	DirectSales - Team Lead	2023-10-01	2024-06-30	BAND 4	89	88	-5
OK	Events	DirectSales - Team Lead	2023-10-01	2024-06-30	BAND 3	89	90	0
OK	Events	DirectSales - Team Lead	2023-10-01	2024-06-30	BAND 2	91	93	5
OK	Events	DirectSales - Team Lead	2023-10-01	2024-06-30	BAND 1	94	100	10
OK	Events	DirectSales - Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Events	DirectSales - Manager	2023-10-01	2024-06-30	BAND 4	89	88	-5
OK	Events	DirectSales - Manager	2023-10-01	2024-06-30	BAND 3	89	90	0
OK	Events	DirectSales - Manager	2023-10-01	2024-06-30	BAND 2	91	93	5
OK	Events	DirectSales - Manager	2023-10-01	2024-06-30	BAND 1	94	100	10
OK	Events	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Events	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 4	89	88	-5
OK	Events	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 3	89	90	0
OK	Events	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 2	91	93	5
OK	Events	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 1	94	100	10
OK	Outdoor	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 5	0	88	-10
OK	Outdoor	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 4	89	88	-5
OK	Outdoor	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 3	89	90	0
OK	Outdoor	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 2	91	93	5
OK	Outdoor	DirectSales - Account Manager	2023-10-01	2024-06-30	BAND 1	94	100	10
OK	DT_SGOB_Team	Digital Telesales - SE	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_SGOB_Team	Digital Telesales - SE	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_SGOB_Team	Digital Telesales - SE	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_SGOB_Team	Digital Telesales - SE	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_SGOB_Team	Digital Telesales - SE	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_SGOB_Team	Digital Telesales - ATL	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_SGOB_Team	Digital Telesales - ATL	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_SGOB_Team	Digital Telesales - ATL	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_SGOB_Team	Digital Telesales - ATL	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_SGOB_Team	Digital Telesales - ATL	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_SGOB_Online_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_SGOB_Online_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_SGOB_Online_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_SGOB_Online_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_SGOB_Online_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_OB_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_OB_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_OB_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_OB_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_OB_Team	Digital Telesales - TL	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_IB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_IB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_IB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_IB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_IB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_OB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_OB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_OB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_OB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_OB_Team	Digital Telesales - Sales Manager	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_All_Team	Digital Telesales - Senior Sales Manager	2023-10-01	2024-06-30	BAND 5	0	84	-10
OK	DT_All_Team	Digital Telesales - Senior Sales Manager	2023-10-01	2024-06-30	BAND 4	85	85	-5
OK	DT_All_Team	Digital Telesales - Senior Sales Manager	2023-10-01	2024-06-30	BAND 3	86	87	0
OK	DT_All_Team	Digital Telesales - Senior Sales Manager	2023-10-01	2024-06-30	BAND 2	88	90	5
OK	DT_All_Team	Digital Telesales - Senior Sales Manager	2023-10-01	2024-06-30	BAND 1	91	100	10
OK	DT_Sudong	Digital Telesales - Sudong Manager	2023-10-01	2024-06-30	BAND 5	0	84	-10
