Validation	GLOBAL EMPLOYEE ID	Year	April	May	June	July	August	September	October	November	December	January	February	March
OK	1302227	2024	216	189	189	0	0	0	0	0	0	0	0	0
OK	1312123	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1312392	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1327454	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1336316	2024	216	189	189	0	0	0	0	0	0	0	0	0
OK	1336934	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1338207	2024	227	227	72	0	0	0	0	0	0	0	0	0
OK	1346439	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1352168	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1331301	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1357661	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1358237	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1250186	2024	359	248	271	0	0	0	0	0	0	0	0	0
OK	1250391	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1256548	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1318820	2024	12252	14867	15221	0	0	0	0	0	0	0	0	0
OK	1317365	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1258890	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1343881	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1250771	2024	359	248	271	0	0	0	0	0	0	0	0	0
OK	1344385	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1325035	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1334679	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1290540	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1323952	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1252595	2024	9738	7635	8026	0	0	0	0	0	0	0	0	0
OK	1255255	2024	5773	4078	4464	0	0	0	0	0	0	0	0	0
OK	1253836	2024	3966	3557	3562	0	0	0	0	0	0	0	0	0
OK	1258921	2024	25454	26958	27760	0	0	0	0	0	0	0	0	0
OK	1259181	2024	3463	4456	4513	0	0	0	0	0	0	0	0	0
OK	1362410	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1362510	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1349172	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1362645	2024	372	299	327	0	0	0	0	0	0	0	0	0
OK	1362644	2024	227	227	227	0	0	0	0	0	0	0	0	0
OK	1252203	2024	15716	19322	19734	0	0	0	0	0	0	0	0	0
OK	1346809	2024		299	327	0	0	0	0	0	0	0	0	0
OK	Vacant-GA	2024	356	1	161	0	0	0	0	0	0	0	0	0
OK	Vacant-Upsell	2024	963	-6	-2	0	0	0	0	0	0	0	0	0
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
X		2024												
