Validation,EffectiveStartDate,EffectiveEndDate,Value,Team,Product,Title
Validation formula. Copy this down to all rows before uploading the file. Only rows marked OK here will be uploaded,YYYY-MM-DD (First date of the month),YYYY-MM-DD (Last date of the month),"Number of registrations - No commas,  Number only",Select from drop down,Select from drop down,"Mandatory. Must be a valid Title, matching the values in Callidus"
OK,2024-06-01,2024-06-30,487,STS - Singtel Shop Ang Mo Kio Hub,Prepaid GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,1064,STS - Singtel Shop Ang Mo Kio Hub,Mobile Add On,STS - Assistant Manager
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Ang Mo Kio Hub,SNBB Add On,STS - Assistant Manager
OK,2024-06-01,2024-06-30,24,STS - Singtel Shop Ang Mo Kio Hub,TV App,STS - Assistant Manager
OK,2024-06-01,2024-06-30,72,STS - Singtel Shop Ang Mo Kio Hub,TV Content,STS - Assistant Manager
OK,2024-06-01,2024-06-30,11151,STS - Singtel Shop Ang Mo Kio Hub,Prepaid Revenue,STS - Assistant Manager
OK,2024-06-01,2024-06-30,139147,STS - Singtel Shop Ang Mo Kio Hub,Accessories,STS - Assistant Manager
OK,2024-06-01,2024-06-30,605001,STS - Singtel Shop Ang Mo Kio Hub,Handset,STS - Assistant Manager
OK,2024-06-01,2024-06-30,122,STS - Singtel Shop Ang Mo Kio Hub,Combo RES GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,60,STS - Singtel Shop Ang Mo Kio Hub,Mobile Share RES GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,142,STS - Singtel Shop Ang Mo Kio Hub,SIM Only RES GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,66,STS - Singtel Shop Ang Mo Kio Hub,Combo CIS GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,25,STS - Singtel Shop Ang Mo Kio Hub,Mobile Share CIS GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Ang Mo Kio Hub,SIM Only CIS GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,551,STS - Singtel Shop Ang Mo Kio Hub,Mobile RES Recon,STS - Technical Mgr
OK,2024-06-01,2024-06-30,124,STS - Singtel Shop Ang Mo Kio Hub,Mobile CIS Recon,STS - Technical Mgr
OK,2024-06-01,2024-06-30,98,STS - Singtel Shop Ang Mo Kio Hub,FTTH GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,65,STS - Singtel Shop Ang Mo Kio Hub,FTTH Recon,STS - Technical Mgr
OK,2024-06-01,2024-06-30,59,STS - Singtel Shop Ang Mo Kio Hub,TV GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,14,STS - Singtel Shop Ang Mo Kio Hub,MBB Integrated GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,487,STS - Singtel Shop Ang Mo Kio Hub,Prepaid GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,1064,STS - Singtel Shop Ang Mo Kio Hub,Mobile Add On,STS - Technical Mgr
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Ang Mo Kio Hub,SNBB Add On,STS - Technical Mgr
OK,2024-06-01,2024-06-30,24,STS - Singtel Shop Ang Mo Kio Hub,TV App,STS - Technical Mgr
OK,2024-06-01,2024-06-30,72,STS - Singtel Shop Ang Mo Kio Hub,TV Content,STS - Technical Mgr
OK,2024-06-01,2024-06-30,11151,STS - Singtel Shop Ang Mo Kio Hub,Prepaid Revenue,STS - Technical Mgr
OK,2024-06-01,2024-06-30,139147,STS - Singtel Shop Ang Mo Kio Hub,Accessories,STS - Technical Mgr
OK,2024-06-01,2024-06-30,605001,STS - Singtel Shop Ang Mo Kio Hub,Handset,STS - Technical Mgr
OK,2024-06-01,2024-06-30,122,STS - Singtel Shop Ang Mo Kio Hub,Combo RES GA,STS - Shop
OK,2024-06-01,2024-06-30,60,STS - Singtel Shop Ang Mo Kio Hub,Mobile Share RES GA,STS - Shop
OK,2024-06-01,2024-06-30,142,STS - Singtel Shop Ang Mo Kio Hub,SIM Only RES GA,STS - Shop
OK,2024-06-01,2024-06-30,66,STS - Singtel Shop Ang Mo Kio Hub,Combo CIS GA,STS - Shop
OK,2024-06-01,2024-06-30,25,STS - Singtel Shop Ang Mo Kio Hub,Mobile Share CIS GA,STS - Shop
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Ang Mo Kio Hub,SIM Only CIS GA,STS - Shop
OK,2024-06-01,2024-06-30,551,STS - Singtel Shop Ang Mo Kio Hub,Mobile RES Recon,STS - Shop
OK,2024-06-01,2024-06-30,124,STS - Singtel Shop Ang Mo Kio Hub,Mobile CIS Recon,STS - Shop
OK,2024-06-01,2024-06-30,98,STS - Singtel Shop Ang Mo Kio Hub,FTTH GA,STS - Shop
OK,2024-06-01,2024-06-30,65,STS - Singtel Shop Ang Mo Kio Hub,FTTH Recon,STS - Shop
OK,2024-06-01,2024-06-30,59,STS - Singtel Shop Ang Mo Kio Hub,TV GA,STS - Shop
OK,2024-06-01,2024-06-30,14,STS - Singtel Shop Ang Mo Kio Hub,MBB Integrated GA,STS - Shop
OK,2024-06-01,2024-06-30,487,STS - Singtel Shop Ang Mo Kio Hub,Prepaid GA,STS - Shop
OK,2024-06-01,2024-06-30,1064,STS - Singtel Shop Ang Mo Kio Hub,Mobile Add On,STS - Shop
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Ang Mo Kio Hub,SNBB Add On,STS - Shop
OK,2024-06-01,2024-06-30,24,STS - Singtel Shop Ang Mo Kio Hub,TV App,STS - Shop
OK,2024-06-01,2024-06-30,72,STS - Singtel Shop Ang Mo Kio Hub,TV Content,STS - Shop
OK,2024-06-01,2024-06-30,11151,STS - Singtel Shop Ang Mo Kio Hub,Prepaid Revenue,STS - Shop
OK,2024-06-01,2024-06-30,139147,STS - Singtel Shop Ang Mo Kio Hub,Accessories,STS - Shop
OK,2024-06-01,2024-06-30,605001,STS - Singtel Shop Ang Mo Kio Hub,Handset,STS - Shop
OK,2024-06-01,2024-06-30,11,STS - Singtel Shop Bugis Junction,Combo RES GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,5,STS - Singtel Shop Bugis Junction,Mobile Share RES GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,18,STS - Singtel Shop Bugis Junction,SIM Only RES GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,7,STS - Singtel Shop Bugis Junction,Combo CIS GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Bugis Junction,Mobile Share CIS GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,1,STS - Singtel Shop Bugis Junction,SIM Only CIS GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,35,STS - Singtel Shop Bugis Junction,Mobile RES Recon,STS - Retail Exec
OK,2024-06-01,2024-06-30,10,STS - Singtel Shop Bugis Junction,Mobile CIS Recon,STS - Retail Exec
OK,2024-06-01,2024-06-30,9,STS - Singtel Shop Bugis Junction,FTTH GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,4,STS - Singtel Shop Bugis Junction,FTTH Recon,STS - Retail Exec
OK,2024-06-01,2024-06-30,6,STS - Singtel Shop Bugis Junction,TV GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,2,STS - Singtel Shop Bugis Junction,MBB Integrated GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,57,STS - Singtel Shop Bugis Junction,Prepaid GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,83,STS - Singtel Shop Bugis Junction,Mobile Add On,STS - Retail Exec
OK,2024-06-01,2024-06-30,41,STS - Singtel Shop Bugis Junction,SNBB Add On,STS - Retail Exec
OK,2024-06-01,2024-06-30,4,STS - Singtel Shop Bugis Junction,TV App,STS - Retail Exec
OK,2024-06-01,2024-06-30,8,STS - Singtel Shop Bugis Junction,TV Content,STS - Retail Exec
OK,2024-06-01,2024-06-30,10619,STS - Singtel Shop Bugis Junction,Accessories,STS - Retail Exec
OK,2024-06-01,2024-06-30,46170,STS - Singtel Shop Bugis Junction,Handset,STS - Retail Exec
OK,2024-06-01,2024-06-30,139,STS - Singtel Shop Bugis Junction,Combo RES GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,58,STS - Singtel Shop Bugis Junction,Mobile Share RES GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,222,STS - Singtel Shop Bugis Junction,SIM Only RES GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,79,STS - Singtel Shop Bugis Junction,Combo CIS GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,30,STS - Singtel Shop Bugis Junction,Mobile Share CIS GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Bugis Junction,SIM Only CIS GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,442,STS - Singtel Shop Bugis Junction,Mobile RES Recon,STS - Store Mgr
OK,2024-06-01,2024-06-30,111,STS - Singtel Shop Bugis Junction,Mobile CIS Recon,STS - Store Mgr
OK,2024-06-01,2024-06-30,115,STS - Singtel Shop Bugis Junction,FTTH GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,46,STS - Singtel Shop Bugis Junction,FTTH Recon,STS - Store Mgr
OK,2024-06-01,2024-06-30,69,STS - Singtel Shop Bugis Junction,TV GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,14,STS - Singtel Shop Bugis Junction,MBB Integrated GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,731,STS - Singtel Shop Bugis Junction,Prepaid GA,STS - Store Mgr
OK,2024-06-01,2024-06-30,1052,STS - Singtel Shop Bugis Junction,Mobile Add On,STS - Store Mgr
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Bugis Junction,SNBB Add On,STS - Store Mgr
OK,2024-06-01,2024-06-30,28,STS - Singtel Shop Bugis Junction,TV App,STS - Store Mgr
OK,2024-06-01,2024-06-30,85,STS - Singtel Shop Bugis Junction,TV Content,STS - Store Mgr
OK,2024-06-01,2024-06-30,16727,STS - Singtel Shop Bugis Junction,Prepaid Revenue,STS - Store Mgr
OK,2024-06-01,2024-06-30,138042,STS - Singtel Shop Bugis Junction,Accessories,STS - Store Mgr
OK,2024-06-01,2024-06-30,600195,STS - Singtel Shop Bugis Junction,Handset,STS - Store Mgr
OK,2024-06-01,2024-06-30,139,STS - Singtel Shop Bugis Junction,Combo RES GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,58,STS - Singtel Shop Bugis Junction,Mobile Share RES GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,222,STS - Singtel Shop Bugis Junction,SIM Only RES GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,79,STS - Singtel Shop Bugis Junction,Combo CIS GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,30,STS - Singtel Shop Bugis Junction,Mobile Share CIS GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Bugis Junction,SIM Only CIS GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,442,STS - Singtel Shop Bugis Junction,Mobile RES Recon,STS - Assistant Manager
OK,2024-06-01,2024-06-30,111,STS - Singtel Shop Bugis Junction,Mobile CIS Recon,STS - Assistant Manager
OK,2024-06-01,2024-06-30,115,STS - Singtel Shop Bugis Junction,FTTH GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,46,STS - Singtel Shop Bugis Junction,FTTH Recon,STS - Assistant Manager
OK,2024-06-01,2024-06-30,69,STS - Singtel Shop Bugis Junction,TV GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,14,STS - Singtel Shop Bugis Junction,MBB Integrated GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,731,STS - Singtel Shop Bugis Junction,Prepaid GA,STS - Assistant Manager
OK,2024-06-01,2024-06-30,1052,STS - Singtel Shop Bugis Junction,Mobile Add On,STS - Assistant Manager
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Bugis Junction,SNBB Add On,STS - Assistant Manager
OK,2024-06-01,2024-06-30,28,STS - Singtel Shop Bugis Junction,TV App,STS - Assistant Manager
OK,2024-06-01,2024-06-30,85,STS - Singtel Shop Bugis Junction,TV Content,STS - Assistant Manager
OK,2024-06-01,2024-06-30,16727,STS - Singtel Shop Bugis Junction,Prepaid Revenue,STS - Assistant Manager
OK,2024-06-01,2024-06-30,138042,STS - Singtel Shop Bugis Junction,Accessories,STS - Assistant Manager
OK,2024-06-01,2024-06-30,600195,STS - Singtel Shop Bugis Junction,Handset,STS - Assistant Manager
OK,2024-06-01,2024-06-30,139,STS - Singtel Shop Bugis Junction,Combo RES GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,58,STS - Singtel Shop Bugis Junction,Mobile Share RES GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,222,STS - Singtel Shop Bugis Junction,SIM Only RES GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,79,STS - Singtel Shop Bugis Junction,Combo CIS GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,30,STS - Singtel Shop Bugis Junction,Mobile Share CIS GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Bugis Junction,SIM Only CIS GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,442,STS - Singtel Shop Bugis Junction,Mobile RES Recon,STS - Technical Mgr
OK,2024-06-01,2024-06-30,111,STS - Singtel Shop Bugis Junction,Mobile CIS Recon,STS - Technical Mgr
OK,2024-06-01,2024-06-30,115,STS - Singtel Shop Bugis Junction,FTTH GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,46,STS - Singtel Shop Bugis Junction,FTTH Recon,STS - Technical Mgr
OK,2024-06-01,2024-06-30,69,STS - Singtel Shop Bugis Junction,TV GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,14,STS - Singtel Shop Bugis Junction,MBB Integrated GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,731,STS - Singtel Shop Bugis Junction,Prepaid GA,STS - Technical Mgr
OK,2024-06-01,2024-06-30,1052,STS - Singtel Shop Bugis Junction,Mobile Add On,STS - Technical Mgr
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Bugis Junction,SNBB Add On,STS - Technical Mgr
OK,2024-06-01,2024-06-30,28,STS - Singtel Shop Bugis Junction,TV App,STS - Technical Mgr
OK,2024-06-01,2024-06-30,85,STS - Singtel Shop Bugis Junction,TV Content,STS - Technical Mgr
OK,2024-06-01,2024-06-30,16727,STS - Singtel Shop Bugis Junction,Prepaid Revenue,STS - Technical Mgr
OK,2024-06-01,2024-06-30,138042,STS - Singtel Shop Bugis Junction,Accessories,STS - Technical Mgr
OK,2024-06-01,2024-06-30,600195,STS - Singtel Shop Bugis Junction,Handset,STS - Technical Mgr
OK,2024-06-01,2024-06-30,139,STS - Singtel Shop Bugis Junction,Combo RES GA,STS - Shop
OK,2024-06-01,2024-06-30,58,STS - Singtel Shop Bugis Junction,Mobile Share RES GA,STS - Shop
OK,2024-06-01,2024-06-30,222,STS - Singtel Shop Bugis Junction,SIM Only RES GA,STS - Shop
OK,2024-06-01,2024-06-30,79,STS - Singtel Shop Bugis Junction,Combo CIS GA,STS - Shop
OK,2024-06-01,2024-06-30,30,STS - Singtel Shop Bugis Junction,Mobile Share CIS GA,STS - Shop
OK,2024-06-01,2024-06-30,3,STS - Singtel Shop Bugis Junction,SIM Only CIS GA,STS - Shop
OK,2024-06-01,2024-06-30,442,STS - Singtel Shop Bugis Junction,Mobile RES Recon,STS - Shop
OK,2024-06-01,2024-06-30,111,STS - Singtel Shop Bugis Junction,Mobile CIS Recon,STS - Shop
OK,2024-06-01,2024-06-30,115,STS - Singtel Shop Bugis Junction,FTTH GA,STS - Shop
OK,2024-06-01,2024-06-30,46,STS - Singtel Shop Bugis Junction,FTTH Recon,STS - Shop
OK,2024-06-01,2024-06-30,69,STS - Singtel Shop Bugis Junction,TV GA,STS - Shop
OK,2024-06-01,2024-06-30,14,STS - Singtel Shop Bugis Junction,MBB Integrated GA,STS - Shop
OK,2024-06-01,2024-06-30,731,STS - Singtel Shop Bugis Junction,Prepaid GA,STS - Shop
OK,2024-06-01,2024-06-30,1052,STS - Singtel Shop Bugis Junction,Mobile Add On,STS - Shop
OK,2024-06-01,2024-06-30,458,STS - Singtel Shop Bugis Junction,SNBB Add On,STS - Shop
OK,2024-06-01,2024-06-30,28,STS - Singtel Shop Bugis Junction,TV App,STS - Shop
OK,2024-06-01,2024-06-30,85,STS - Singtel Shop Bugis Junction,TV Content,STS - Shop
OK,2024-06-01,2024-06-30,16727,STS - Singtel Shop Bugis Junction,Prepaid Revenue,STS - Shop
OK,2024-06-01,2024-06-30,138042,STS - Singtel Shop Bugis Junction,Accessories,STS - Shop
OK,2024-06-01,2024-06-30,600195,STS - Singtel Shop Bugis Junction,Handset,STS - Shop
OK,2024-06-01,2024-06-30,15,STS - Singtel Shop Tampines Mall,Combo RES GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,6,STS - Singtel Shop Tampines Mall,Mobile Share RES GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,13,STS - Singtel Shop Tampines Mall,SIM Only RES GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,9,STS - Singtel Shop Tampines Mall,Combo CIS GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,4,STS - Singtel Shop Tampines Mall,Mobile Share CIS GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,1,STS - Singtel Shop Tampines Mall,SIM Only CIS GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,42,STS - Singtel Shop Tampines Mall,Mobile RES Recon,STS - Retail Exec
OK,2024-06-01,2024-06-30,15,STS - Singtel Shop Tampines Mall,Mobile CIS Recon,STS - Retail Exec
OK,2024-06-01,2024-06-30,12,STS - Singtel Shop Tampines Mall,FTTH GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,5,STS - Singtel Shop Tampines Mall,FTTH Recon,STS - Retail Exec
OK,2024-06-01,2024-06-30,8,STS - Singtel Shop Tampines Mall,TV GA,STS - Retail Exec
OK,2024-06-01,2024-06-30,2,STS - Singtel Shop Tampines Mall,MBB Integrated GA,STS - Retail Exec
