ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
TV-406640900A-406640901A8848062P,1,2792561209,TV Closed,PONUMBER,13808688176,5314.0
TV-406640900A-406640901A3210846P,1,3053924806,TV Closed,PONUMBER,13808688176,5314.0
TV-406655580A-406655581A10242181P,1,123422407,TV Closed,PONUMBER,13808689612,5424.0
TV-406655580A-406655581A8901882P,1,2518502481,TV Closed,PONUMBER,13808689612,5424.0
TV-406655580A-406655581A11654551P,1,2518503553,TV Closed,PONUMBER,13808689612,5424.0
TV-406602496A-406602497A9007412P,1,123108203,TV Closed,PONUMBER,13808682324,5126.0
TV-406602496A-406602497A9625983P,1,124117631,TV Closed,PONUMBER,13808682324,5126.0
TV-406602496A-406602497A11348831P,1,2056356702,TV Closed,PONUMBER,13808682324,5126.0
TV-406602496A-406602497A8901882P,1,2056357201,TV Closed,PONUMBER,13808682324,5126.0
TV-406602496A-406602497A14942P,1,2056357202,TV Closed,PONUMBER,13808682324,5126.0
TV-406602496A-406602497A10426571P,1,3103410808,TV Closed,PONUMBER,13808682324,5126.0
TV-406602496A-406602497A9187902P,1,3103410810,TV Closed,PONUMBER,13808682324,5126.0
TV-406651845A-406651846A10242181P,1,2101310327,TV Closed,PONUMBER,13808688941,5375.0
TV-406651845A-406651846A8848722P,1,2598917529,TV Closed,PONUMBER,13808688941,5375.0
TV-406652982A-406652983A8848062P,1,125642904,TV Closed,PONUMBER,13808688957,5377.0
TV-406606319A-406606320A71245886P,1,2680080564,TV Closed,PONUMBER,13808689332,5406.0
TV-406606319A-406606320A40057212P,1,2744010902,TV Closed,PONUMBER,13808689332,5406.0
TV-406606319A-406606320A8847712P,1,2744059146,TV Closed,PONUMBER,13808689332,5406.0
TV-406606319A-406606320A25946604P,1,2744059148,TV Closed,PONUMBER,13808689332,5406.0
TV-406606319A-406606320A18007451P,1,2744059150,TV Closed,PONUMBER,13808689332,5406.0
TV-406646932A-406646933A11654561P,1,3083900279,TV Closed,PONUMBER,13606591518,5480.0
TV-406646932A-406646933A10426381P,1,3083900283,TV Closed,PONUMBER,13606591518,5480.0
TV-406646932A-406646933A11653331P,1,3083900285,TV Closed,PONUMBER,13606591518,5480.0
TV-406646932A-406646933A13503971P,1,3083900292,TV Closed,PONUMBER,13606591518,5480.0
TV-406606928A-406606929A10242181P,1,133500513,TV Closed,PONUMBER,13625983162,5279.0
TV-406606928A-406606929A8848062P,1,3085685885,TV Closed,PONUMBER,13625983162,5279.0
TV-406659820A-406659821A10242181P,1,124220747,TV Closed,PONUMBER,13808662628,4978.0
TV-406659820A-406659821A10426151P,1,2557229147,TV Closed,PONUMBER,13808662628,4978.0
TV-406659820A-406659821A8901882P,1,2557229149,TV Closed,PONUMBER,13808662628,4978.0
TV-406640555A-406640556A10242181P,1,128509622,TV Closed,PONUMBER,13645181788,5470.0
TV-406674988A-406674989A14942N,1,149151016,TV Closed,PONUMBER,13808693125,5515.0
TV-406674988A-406674989A14942N,1,149151016,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406667504A-406667505A10242181N,1,3027114209,TV Closed,PONUMBER,13808725582,5740.0
TV-406667504A-406667505A10242181N,1,3027114209,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406667902A-406667933A14942N,1,2932466000,TV Closed,PONUMBER,13808659404,4959.0
TV-406667902A-406667933A14942N,1,2932466000,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406639848A-406639849A10242181N,1,2931104552,TV Closed,PONUMBER,13808714365,5680.0
TV-406639848A-406639849A10242181N,1,2931104552,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406660173A-406660174A10242181N,1,3034135838,TV Closed,PONUMBER,13808726473,5743.0
TV-406660173A-406660174A10242181N,1,3034135838,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406660173A-406660174A8848392N,1,3034137301,TV Closed,PONUMBER,13808726473,5743.0
TV-406660173A-406660174A8848392N,1,3034137301,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406658342A-406658343A12468421N,1,3097609816,TV Closed,PONUMBER,13750382507,5816.0
TV-406658342A-406658343A12468421N,1,3097609816,TV Closed,COMMENTS,Ceased Txn - TV-403056145A-403056401A14986921N-1-3097609814,Cessation Txn
TV-406658342A-406658343A12468421N,1,3097609816,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406640270A-406640271A8847212N,1,2851147000,TV Closed,PONUMBER,13808713523,5672.0
TV-406640270A-406640271A8847212N,1,2851147000,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406647359A-406647361A8901882N,1,148367489,TV Closed,PONUMBER,13808660397,4969.0
TV-406647359A-406647361A8901882N,1,148367489,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406647359A-406647361A71315676N,1,2495275048,TV Closed,PONUMBER,13808660397,4969.0
TV-406647359A-406647361A71315676N,1,2495275048,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406656222A-406656224A8848432N,1,99962073,TV Closed,PONUMBER,13808689820,5441.0
TV-406656222A-406656224A8848432N,1,99962073,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406603656A-406603657A8848062P,1,125482857,TV Closed,PONUMBER,13808687100,5236.0
TV-406603656A-406603657A10242181P,1,128511464,TV Closed,PONUMBER,13808687100,5236.0
TV-406603656A-406603657A8901882P,1,129576533,TV Closed,PONUMBER,13808687100,5236.0
TV-406652366A-406652367A8901882N,1,2728606430,TV Closed,PONUMBER,13808699730,5581.0
TV-406652366A-406652367A8901882N,1,2728606430,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406476085A-406476086A8901882N,1,6564877,TV Closed,PONUMBER,13808686358,5182.0
TV-406476085A-406476086A8901882N,1,6564877,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406474859A-406474860A19569371N,1,3052330499,TV Closed,PONUMBER,13659135640,5773.0
TV-406474859A-406474860A19569371N,1,3052330499,TV Closed,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
