ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
BB-406632953A-406632955A-9046602,20240725,2531972310,BroadBand Submitted,PONUMBER,13798216564.0,11235.0
BB-406632953A-406632955A-9046602,20240725,2531972310,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406633462A-406633467A-14354681,20240725,3103468205,BroadBand Submitted,PONUMBER,13798280587.0,12330.0
BB-406633462A-406633467A-14354681,20240725,3103468205,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406633462A-406633467A-2554735,20240725,3103468737,BroadBand Submitted,PONUMBER,13798280587.0,12330.0
BB-406633462A-406633467A-2554735,20240725,3103468737,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406633469A-406633471A-3116265,20240725,3103468220,BroadBand Submitted,PONUMBER,13798298748.0,12644.0
BB-406633469A-406633471A-3116265,20240725,3103468220,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406632048A-406632049A-2572995,20240725,3101955271,BroadBand Submitted,PONUMBER,13786857177.0,11151.0
BB-406632048A-406632049A-2572995,20240725,3101955271,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406632048A-406632049A-18655531,20240725,3101955281,BroadBand Submitted,PONUMBER,13786857177.0,11151.0
BB-406632048A-406632049A-18655531,20240725,3101955281,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406632299A-406632304A-14917621,20240725,98900490,BroadBand Submitted,PONUMBER,13798277953.0,12295.0
BB-406632299A-406632304A-14917621,20240725,98900490,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406632299A-406632304A-17291351,20240725,2854793445,BroadBand Submitted,PONUMBER,13798277953.0,12295.0
BB-406632299A-406632304A-17291351,20240725,2854793445,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406632299A-406632304A-2573035,20240725,3103469210,BroadBand Submitted,PONUMBER,13798277953.0,12295.0
BB-406632299A-406632304A-2573035,20240725,3103469210,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406632299A-406632304A-3281576,20240725,3103469214,BroadBand Submitted,PONUMBER,13798277953.0,12295.0
BB-406632299A-406632304A-3281576,20240725,3103469214,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406632299A-406632304A-15021551,20240725,3103471317,BroadBand Submitted,PONUMBER,13798277953.0,12295.0
BB-406632299A-406632304A-15021551,20240725,3103471317,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406637017A-406637022A-8640442,20240725,3103477303,BroadBand Submitted,PONUMBER,13798213577.0,11186.0
BB-406637017A-406637022A-8640442,20240725,3103477303,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406637096A-406637099A-17291351,20240725,3103477487,BroadBand Submitted,PONUMBER,13798272473.0,12205.0
BB-406637096A-406637099A-17291351,20240725,3103477487,BroadBand Submitted,GENERICATTRIBUTE7,SNBB New subscription (Main),
BB-406637621A-406637624A-18707771,20240725,2862282478,BroadBand Submitted,PONUMBER,13798281704.0,12348.0
BB-406637621A-406637624A-18707771,20240725,2862282478,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406637621A-406637624A-18655531,20240725,2862282480,BroadBand Submitted,PONUMBER,13798281704.0,12348.0
BB-406637621A-406637624A-18655531,20240725,2862282480,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406637522A-406637525A-15021551,20240725,3103483123,BroadBand Submitted,PONUMBER,13798295539.0,12579.0
BB-406637522A-406637525A-15021551,20240725,3103483123,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406637522A-406637525A-3077666,20240725,3103483125,BroadBand Submitted,PONUMBER,13798295539.0,12579.0
BB-406637522A-406637525A-3077666,20240725,3103483125,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406637621A-406637624A-71836286,20240725,3103479917,BroadBand Submitted,PONUMBER,13798281704.0,12348.0
BB-406637621A-406637624A-71836286,20240725,3103479917,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406637973A-406637974A-4436345,20240725,3100099587,BroadBand Submitted,PONUMBER,13756177926.0,11498.0
BB-406637973A-406637974A-4436345,20240725,3100099587,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406637973A-406637974A-2277075,20240725,3100099594,BroadBand Submitted,PONUMBER,13756177926.0,11498.0
BB-406637973A-406637974A-2277075,20240725,3100099594,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406637973A-406637974A-2646405,20240725,3100099595,BroadBand Submitted,PONUMBER,13756177926.0,11498.0
BB-406637973A-406637974A-2646405,20240725,3100099595,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406637973A-406637974A-71836246,20240725,3100099606,BroadBand Submitted,PONUMBER,13756177926.0,11498.0
BB-406637973A-406637974A-71836246,20240725,3100099606,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406654747A-406654748A-2646395,20240725,3101026618,BroadBand Submitted,PONUMBER,13768306657.0,11261.0
BB-406654747A-406654748A-2646395,20240725,3101026618,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406654747A-406654748A-71964226,20240725,3101026624,BroadBand Submitted,PONUMBER,13753931910.0,11261.0
BB-406654747A-406654748A-71964226,20240725,3101026624,BroadBand Submitted,COMMENTS,Ceased Txn - BB-403739992A-403739994A-71964226-20240708-3098661586,Cessation Txn
BB-406654747A-406654748A-71964226,20240725,3101026624,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406654983A-406654984A-18660931,20240725,3095873056,BroadBand Submitted,PONUMBER,13733916037.0,11180.0
BB-406654983A-406654984A-18660931,20240725,3095873056,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406665893A-406665894A-9046602,20240725,69902680,BroadBand Submitted,PONUMBER,13798269236.0,12159.0
BB-406665893A-406665894A-9046602,20240725,69902680,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406665980A-406665983A-8640442,20240725,3103546922,BroadBand Submitted,PONUMBER,13798260417.0,11996.0
BB-406665980A-406665983A-8640442,20240725,3103546922,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406665980A-406665983A-26029034,20240725,3103549261,BroadBand Submitted,PONUMBER,13798260417.0,11996.0
BB-406665980A-406665983A-26029034,20240725,3103549261,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406666082A-406666083A-3548605,20240725,3098714994,BroadBand Submitted,PONUMBER,13753986794.0,12355.0
BB-406666082A-406666083A-3548605,20240725,3098714994,BroadBand Submitted,COMMENTS,Ceased Txn - BB-403760359A-403760360A-3548605-20240708-3098714994,Cessation Txn
BB-406666082A-406666083A-3548605,20240725,3098714994,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406643041A-406643042A-17291351,20240725,2618121258,BroadBand Submitted,PONUMBER,13798224826.0,11368.0
BB-406643041A-406643042A-17291351,20240725,2618121258,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406643041A-406643042A-3077666,20240725,3103496296,BroadBand Submitted,PONUMBER,13798224826.0,11368.0
BB-406643041A-406643042A-3077666,20240725,3103496296,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406643066A-406643067A-2646395,20240725,3091885842,BroadBand Submitted,PONUMBER,13689625811.0,11540.0
BB-406643066A-406643067A-2646395,20240725,3091885842,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406643409A-406643410A-2572995,20240725,3103495495,BroadBand Submitted,PONUMBER,13798259030.0,11963.0
BB-406643409A-406643410A-2572995,20240725,3103495495,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406656212A-406656213A-8873082,20240725,3103525005,BroadBand Submitted,PONUMBER,13798245964.0,11711.0
BB-406656564A-406656565A-17291351,20240725,3103525087,BroadBand Submitted,PONUMBER,13798283969.0,12392.0
BB-406656564A-406656565A-17291351,20240725,3103525087,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406609257A-406609258A-2573035,20240725,3091853133,BroadBand Submitted,PONUMBER,13717217799.0,11739.0
BB-406609257A-406609258A-2573035,20240725,3091853133,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406609685A-406609686A-71152596,20240725,3093261654,BroadBand Submitted,PONUMBER,13712534240.0,11696.0
BB-406609685A-406609686A-71152596,20240725,3093261654,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406609889A-406609891A-17291351,20240725,3103430222,BroadBand Submitted,PONUMBER,13798207827.0,11107.0
BB-406609889A-406609891A-17291351,20240725,3103430222,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406609906A-406609907A-18707771,20240725,3095638823,BroadBand Submitted,PONUMBER,13729723596.0,11316.0
BB-406609906A-406609907A-18707771,20240725,3095638823,BroadBand Submitted,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-406609938A-406609940A-2573035,20240725,3103433056,BroadBand Submitted,PONUMBER,13798283522.0,12380.0
BB-406609938A-406609940A-2573035,20240725,3103433056,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406609938A-406609940A-18660931,20240725,3103433069,BroadBand Submitted,PONUMBER,13798283522.0,12380.0
BB-406609938A-406609940A-18660931,20240725,3103433069,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406648520A-406648521A-3077666,20240725,3103506375,BroadBand Submitted,PONUMBER,13798290804.0,12499.0
BB-406648520A-406648521A-3077666,20240725,3103506375,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406651144A-406651147A-2572995,20240725,3103515647,BroadBand Submitted,PONUMBER,13798210755.0,11147.0
BB-406651144A-406651147A-2572995,20240725,3103515647,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406651144A-406651147A-18707771,20240725,3103515652,BroadBand Submitted,PONUMBER,13798210755.0,11147.0
BB-406651144A-406651147A-18707771,20240725,3103515652,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406660310A-406660311A-2573275,20240725,3103535633,BroadBand Submitted,PONUMBER,13798268749.0,12148.0
BB-406660310A-406660311A-2573275,20240725,3103535633,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406660310A-406660311A-18655531,20240725,3103535636,BroadBand Submitted,PONUMBER,13798268749.0,12148.0
BB-406660310A-406660311A-18655531,20240725,3103535636,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406660373A-406660374A-17291351,20240725,2809442425,BroadBand Submitted,PONUMBER,13798224613.0,11365.0
BB-406660373A-406660374A-17291351,20240725,2809442425,BroadBand Submitted,GENERICATTRIBUTE7,SNBB Recon (Main),
BB-406660373A-406660374A-18660931,20240725,3103538349,BroadBand Submitted,PONUMBER,13798224613.0,11365.0
BB-406660373A-406660374A-18660931,20240725,3103538349,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-406660481A-406660484A-71964226,20240725,3103536847,BroadBand Submitted,PONUMBER,13798293362.0,12538.0
BB-406660481A-406660484A-71964226,20240725,3103536847,BroadBand Submitted,GENERICATTRIBUTE7,New  VAS subscription  with New Main Plan,
BB-406660626A-406660627A-15021511,20240725,3087032589,BroadBand Submitted,PONUMBER,13650903836.0,12209.0
