ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,ORACLE,HANA
TV-406655764A-406655765A40057212N,25072024,2980928920,TV Submitted,PONUMBER,13809223255,19444.0
TV-406655764A-406655765A40057212N,25072024,2980928920,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406669080A-406669081A9187352N,25072024,3079662250,TV Submitted,PONUMBER,13579125485,19536.0
TV-406669080A-406669081A9187352N,25072024,3079662250,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406612229A-406612230A9187902N,25072024,3052607830,TV Submitted,PONUMBER,13650988409,19616.0
TV-406612229A-406612230A9187902N,25072024,3052607830,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406618132A-406618133A14942N,25072024,2964693182,TV Submitted,PONUMBER,13809230553,19524.0
TV-406618132A-406618133A14942N,25072024,2964693182,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406613493A-406613494A19569381N,25072024,2857507073,TV Submitted,PONUMBER,13809227512,19502.0
TV-406613493A-406613494A19569381N,25072024,2857507073,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406671902A-406671903A50031632N,25072024,3089550624,TV Submitted,PONUMBER,13686344741,19638.0
TV-406671902A-406671903A50031632N,25072024,3089550624,TV Submitted,GENERICATTRIBUTE7,Main Plan Cease in 30 days,
TV-406507223A-406507224A9439393N,24072024,3103311721,TV Submitted,PONUMBER,13809255693,19742.0
TV-406601469A-406601470A9187882N,25072024,3103413292,TV Submitted,PONUMBER,13809172108,18514.0
TV-406601727A-406601728A14942N,25072024,3103413755,TV Submitted,PONUMBER,13809255782,19755.0
TV-406602423A-406602424A40187102N,25072024,3103414922,TV Submitted,PONUMBER,13809211233,19306.0
TV-406618631A-406618635A3210856N,25072024,3103450758,TV Submitted,PONUMBER,13809198260,19024.0
TV-406618653A-406618654A8848722N,25072024,3043957032,TV Submitted,PONUMBER,13612520748,18600.0
TV-406619517A-406619518A8847212N,25072024,3103450888,TV Submitted,PONUMBER,13809221542,19426.0
TV-406622731A-406622732A14986921N,25072024,3103452714,TV Submitted,PONUMBER,13809255807,19780.0
TV-406623577A-406623578A71315676N,25072024,3103454041,TV Submitted,PONUMBER,13809226091,19471.0
TV-406625333A-406625334A8847782N,25072024,3064473274,TV Submitted,PONUMBER,13809217160,19385.0
TV-406626068A-406626069A12738041N,25072024,2965960453,TV Submitted,PONUMBER,13809214695,19348.0
TV-406626068A-406626069A3210846N,25072024,3050512686,TV Submitted,PONUMBER,13809214695,19348.0
TV-406626068A-406626069A3210856N,25072024,3103455625,TV Submitted,PONUMBER,13809214695,19348.0
