ORDERID,LINENUMBER,SUBLINENUMBER,EVENTTYPEID,COLUMN_NAME,VALUE_FILE1,VALUE_FILE2
BB-407377651A-407377652A-2572995,20240729,3097630074,BroadBand Closed,PONUMBER,13744922264,460173.0
BB-407377651A-407377652A-2572995,20240729,3097630074,BroadBand Closed,BILLTOADDRESS3,20240730001406.0,20240730000000
BB-407377651A-407377652A-2572995,20240729,3097630074,BroadBand Closed,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-407376981A-407376982A-8796172,20240729,65351161,BroadBand Closed,PONUMBER,13811278603,461127.0
BB-407376981A-407376982A-8796172,20240729,65351161,BroadBand Closed,BILLTOADDRESS3,20240730000707.0,20240730000000
BB-407376981A-407376982A-8796172,20240729,65351161,BroadBand Closed,GENERICATTRIBUTE7,VAS Cease in 30 days,
BB-407441951A-407441952A-71773366,20240730,3104927242,BroadBand Closed,PONUMBER,13811312258,464510.0
BB-407441951A-407441952A-71773366,20240730,3104927242,BroadBand Closed,BILLTOADDRESS3,20240730003142.0,20240730000000
BB-407441951A-407441952A-71773366,20240730,3104927242,BroadBand Closed,GENERICATTRIBUTE7,New  VAS subscription with Existing Line,
BB-402901746A-402901751A-8873082,20240703,3097335232,BroadBand Closed,PONUMBER,13811257823,459041.0
BB-402901746A-402901751A-8873082,20240703,3097335232,BroadBand Closed,BILLTOADDRESS3,20240730134855.0,20240730000000
BB-404238102A-404238107A-8873082,20240711,3099545323,BroadBand Closed,PONUMBER,13811295979,462918.0
BB-404238102A-404238107A-8873082,20240711,3099545323,BroadBand Closed,BILLTOADDRESS3,20240730115539.0,20240730000000
BB-403258853A-403258856A-8873082,20240705,3097963335,BroadBand Closed,PONUMBER,13811239827,457285.0
BB-403258853A-403258856A-8873082,20240705,3097963335,BroadBand Closed,BILLTOADDRESS3,20240730224700.0,20240730000000
BB-404242003A-404242008A-8873082,20240711,3099557564,BroadBand Closed,PONUMBER,13811230309,456406.0
BB-404242003A-404242008A-8873082,20240711,3099557564,BroadBand Closed,BILLTOADDRESS3,20240730134846.0,20240730000000
BB-404575587A-404575591A-4436345,20240713,3100094608,BroadBand Closed,PONUMBER,13811276891,460957.0
BB-404575587A-404575591A-4436345,20240713,3100094608,BroadBand Closed,BILLTOADDRESS3,20240730174811.0,20240730000000
BB-404558465A-404558470A-8873082,20240716,3100050551,BroadBand Closed,PONUMBER,13811288537,462175.0
BB-404558465A-404558470A-8873082,20240716,3100050551,BroadBand Closed,BILLTOADDRESS3,20240730174825.0,20240730000000
BB-404582183A-404582186A-8873082,20240713,3100112530,BroadBand Closed,PONUMBER,13811313718,464677.0
BB-404582183A-404582186A-8873082,20240713,3100112530,BroadBand Closed,BILLTOADDRESS3,20240730174852.0,20240730000000
BB-404558465A-404558470A-4436345,20240716,3100050552,BroadBand Closed,PONUMBER,13811288537,462175.0
BB-404558465A-404558470A-4436345,20240716,3100050552,BroadBand Closed,BILLTOADDRESS3,20240730174825.0,20240730000000
BB-404873457A-404873460A-8873082,20240715,3100477531,BroadBand Closed,PONUMBER,13811247511,458052.0
BB-404873457A-404873460A-8873082,20240715,3100477531,BroadBand Closed,BILLTOADDRESS3,20240730084652.0,20240730000000
BB-405429117A-405429122A-8873082,20240718,3101501069,BroadBand Closed,PONUMBER,13811236845,456997.0
